gene_name,LFC,logP
NDUFA6,-1.0899,3.196973295
NDUFC2,-1.4904,3.177158763
FCAMR,-0.014103,3.174165098
C6orf203,-1.1081,3.171849442
AHCYL1,0.86868,3.169546067
MRC1,-0.52446,3.169546067
TLK2,-0.97254,3.164005212
GCN1L1,0.50351,3.146228804
TRIM24,0.60746,3.132155541
PRKAB1,-0.98722,3.123805261
MRPS31,-1.5317,3.115612509
MUC22,-0.99606,3.114746236
GPR55,-0.71087,3.111865455
NDUFB6,-1.3104,3.111865455
ZNF732,-0.79655,3.108998075
KRTAP12-3,0.57428,3.099125126
KCNMA1,-1.0074,3.094954668
Control_20,-0.54254,3.092749917
KRTAP4-9,0.88948,3.088645272
TCHP,-0.71402,3.085122899
TRIP11,-0.58412,3.080284016
POU5F1,-0.8323,3.0718193
CCL3L3,0.56023,3.071558058
SIN3A,0.12364,3.070770161
HNRNPR,-0.75618,3.070770161
UBE2G1,-0.77437,3.065572254
ITGB5,0.48905,3.061205175
DND1,0.85651,3.038298959
TAS2R1,-0.95151,3.035156045
ENO1,-0.77354,3.030840453
LDLRAP1,0.49746,2.998699067
KCNJ8,0.26244,2.984724093
ZNF729,-0.53229,2.984305011
TCEAL7,-0.59762,2.970413328
NDUFB4,-1.274,2.960744556
ZC2HC1B,-0.62176,2.957739593
RFX2,-0.45043,2.952530425
BTBD6,0.6225,2.947575412
Control_38,-0.40533,2.934943397
F8A2,0.99904,2.933823214
LRRN3,-0.76152,2.933823214
VPS52,0.48664,2.933450461
RASA2,0.47374,2.928117993
KRTAP5-10,-0.58888,2.925512695
NLRP5,0.83371,2.923068425
WDR46,0.042819,2.917358222
DLAT,-0.52965,2.917358222
EZR,0.42257,2.916784138
Control_118,0.42585,2.896367295
CCP110,-0.68378,2.884489338
CTTNBP2NL,-0.54919,2.881074247
SAMD4B,0.49298,2.879393169
Control_127,-0.70761,2.878407331
SLC8A1,-0.80052,2.871891651
MTOR,1.0261,2.870406772
VPS11,0.10583,2.85839347
MSS51,-0.81708,2.855021262
ADAMTS17,-0.086779,2.853902986
FAT1,-0.74885,2.852973285
SSX2IP,-0.5281,2.845271793
C14orf80,0.82073,2.84417831
FSHB,0.3648,2.843572008
LTB,-0.73392,2.843420564
HSFY1,-0.49358,2.834815048
EIF2AK4,0.44547,2.830296183
MAN2A1,-0.47544,2.822636675
PIGL,-0.52216,2.82004627
C12orf74,-0.69716,2.819902811
KRTAP4-7,0.64517,2.816986537
SRRM4,-0.56904,2.814231267
RDX,-0.68062,2.807460423
MDH1B,-0.11445,2.801232979
GH1,-0.68827,2.799970733
TARP,-0.67869,2.792204115
INPP5K,-0.53897,2.791935052
DRD3,0.6002,2.791666156
CCDC108,0.57231,2.785368055
BRMS1L,-0.77783,2.783754902
DRAP1,0.57602,2.773219713
ARMC8,0.42713,2.773090915
Control_11,0.28232,2.770190217
FGG,-0.99013,2.76667385
Control_1,-0.66892,2.765254999
C1orf177,-0.1758,2.76025019
PIGO,-0.76423,2.755920893
MAU2,0.57421,2.754142008
TXNDC16,-0.65603,2.748507785
PTEN,-0.42861,2.740979826
HS6ST1,0.56575,2.740382233
TSGA10IP,-0.7347,2.73273438
ZNF124,-0.40262,2.709030991
CHST9,-0.85722,2.708919887
KCTD5,-0.63015,2.708586745
ZBED4,0.14215,2.708120776
RBMX2,-0.66736,2.705864581
OR9I1,0.57415,2.697820646
LINGO4,-0.59675,2.689582855
CAPNS1,0.58876,2.686238204
OR6N2,-0.65461,2.684722561
POU4F1,0.54044,2.67769799
TP53,0.15825,2.663860601
NBPF6,-0.63131,2.663860601
DECR1,0.4898,2.662221375
COQ2,-0.98813,2.658051354
SCAPER,0.39937,2.656433868
TAF4,0.5706,2.652630949
COA1,-0.48698,2.647277363
SESN2,-0.55561,2.642865907
PPP4R2,-0.66335,2.638007891
BCL6,0.28227,2.637819223
SCPEP1,-0.68503,2.637234873
PTPN12,-0.66917,2.631880541
CDC25A,-0.91276,2.631025484
Control_210,-0.15076,2.629320404
SMIM8,-0.49073,2.612076533
PCCA,-0.83523,2.611064419
Control_15,-0.44923,2.609630197
C14orf119,-0.7594,2.600672468
CAPZA3,-0.86912,2.597497887
ZNF780B,-0.74019,2.595046612
COPB2,0.75728,2.593732404
SYP,-0.26633,2.58940833
ERAP1,0.28982,2.588447632
C3orf14,-0.54545,2.586566112
OR4D11,-0.66154,2.583060082
MAPK1IP1L,0.73422,2.58068874
GNB4,-0.72649,2.578659362
NOSIP,0.68144,2.574058412
NDUFB3,-0.6085,2.562233587
KRTAP10-8,0.40912,2.560777868
ZNF839,-0.60027,2.557551589
WNK1,0.79608,2.556596183
TEX9,-0.38003,2.542420853
ZNF445,-0.21972,2.539342664
COQ3,-0.48673,2.538801711
CCDC169,-0.53487,2.53734749
Control_51,0.32688,2.534527919
CDC26,-1.0515,2.534290064
RECQL,-0.72075,2.533073094
HS2ST1,-0.44563,2.529677729
FBXL16,0.6543,2.528781656
PM20D2,-0.43432,2.527799569
PCDHB14,-0.97972,2.526907359
C1orf174,-0.84171,2.526162816
MRGPRG,-0.80248,2.518987579
ZNF667,-0.57367,2.515187853
GSTA5,0.14718,2.514250189
ZNF470,-0.56791,2.510632225
IFI16,-0.44905,2.505970701
AK9,-0.50117,2.505052707
HAUS8,0.58022,2.499612564
XIRP1,-0.34876,2.497095146
ZNF347,-0.66505,2.493833335
DOK2,0.41786,2.488812067
JAKMIP2,-0.62192,2.48736896
OCA2,0.1289,2.487235581
WRNIP1,0.65382,2.485332733
Control_218,-0.22329,2.484656107
LAYN,-0.37296,2.476852076
ATP1B1,-0.40238,2.474994087
AIDA,-0.55989,2.474994087
MESDC2,-0.58757,2.468610506
FZD2,0.40341,2.468087005
ZNF57,-0.16398,2.463290086
AMY1B,0.54862,2.462520921
PES1,0.44327,2.461426266
ACBD6,-0.59501,2.45726169
PIGW,-0.87285,2.455733466
Control_17,-0.45988,2.455671457
IZUMO3,-0.40244,2.453457337
C3orf30,0.21822,2.449820584
ASB1,0.304,2.446141236
NEUROD6,-0.2485,2.440476393
ZFP57,-0.55754,2.439185059
TNFRSF10B,0.46537,2.438338213
SPACA5,0.44255,2.438207159
HOOK1,0.63154,2.437600062
CHIT1,-0.087362,2.437421666
HSD11B1,0.42845,2.437183918
ECHS1,-0.49975,2.436388409
DTYMK,0.53102,2.431446288
NDUFS6,-1.0873,2.430123022
KLHL30,0.60477,2.429702296
PEF1,-0.48799,2.42667576
RFX7,-0.488,2.424073559
SWI5,0.49909,2.423889106
TBC1D22A,0.67306,2.419200429
MOCS3,0.80883,2.415781888
SLC16A8,0.39948,2.412087085
ARSK,-0.30752,2.410832609
ZNF43,-0.35569,2.409916447
ZNF292,-0.41963,2.406736091
METTL6,-0.80925,2.40644812
FAM192A,-0.66758,2.402897438
GCSAML,-0.83604,2.400324304
SLC9A1,0.59188,2.398428865
WDR4,0.1613,2.398037736
IST1,0.66134,2.395817162
SOX13,-0.64918,2.395104655
PTTG2,-0.54655,2.392191251
ZNF800,-0.69828,2.391645151
PRAMEF4,-0.59741,2.391591648
ANKRD30A,-0.70475,2.389893703
Control_197,-0.63864,2.389627333
MID1,0.39199,2.386961996
CABYR,-0.66826,2.382601214
SERPINB1,-1.0538,2.382224077
GAL3ST4,-0.41951,2.382171722
MGP,-0.44419,2.380301584
HSD3B7,0.46726,2.376636981
NR2F2,0.40967,2.374533206
ACD,0.41767,2.372009782
FOXM1,-0.41616,2.369765414
SETD1B,0.49435,2.364596686
NAA15,-0.56434,2.363572287
DDX41,0.39687,2.358565553
ZFP14,-0.43746,2.358109642
NDUFB11,-1.4612,2.357357446
SPRR2G,0.45953,2.356399294
OR6C70,-0.19326,2.349935439
AP2M1,0.51317,2.347164038
CCDC122,-0.6535,2.342103158
CAMKMT,0.51371,2.341463949
KRTAP4-4,0.47896,2.341416285
NDUFS8,-1.0067,2.340397518
RPH3A,0.31637,2.339960276
TMEM119,0.58032,2.339618394
SEZ6,0.345,2.339618394
DUSP5,0.44388,2.339229356
TNRC6B,0.54342,2.337242168
SPTLC3,-0.8122,2.337053386
NDUFB8,-1.4806,2.335658939
TBX6,0.71142,2.335076107
SPATA2,-0.34462,2.332444323
UBXN4,-0.76004,2.332210949
STX19,-0.64082,2.328503178
POLR3H,0.96554,2.326094808
EDN1,0.38927,2.324120884
ZNF705B,-0.52827,2.322529926
SLC6A18,0.60313,2.321927981
DOC2A,0.31254,2.317755616
SLC38A11,-0.61425,2.316322701
ALPPL2,0.3192,2.310380407
TMEM215,-0.90541,2.310291667
ZNF878,-0.83927,2.306950516
E2F4,0.2988,2.306897688
SPATC1,0.40448,2.299798347
DDX3X,0.18494,2.292293596
CORIN,0.25259,2.282221353
KCNE3,-0.54925,2.279931701
TMCO5A,-0.44961,2.277316729
NUDT5,0.26261,2.276733193
ID4,-0.43516,2.276733193
ADGRG7,0.51311,2.274553933
IER3IP1,0.47303,2.274341508
CNPY1,-0.447,2.274137351
PRPF40A,0.54402,2.27392513
CTU1,0.67971,2.273713012
ZNF546,-0.98105,2.272629567
MZF1,0.43396,2.27072179
CCNB3,-0.41321,2.270308866
Control_158,-0.2226,2.261988856
BID,0.46806,2.26064921
DRD2,0.46623,2.260490945
LSM14A,-0.48025,2.257824957
IFITM2,0.50048,2.257502678
SP4,-0.7465,2.255581833
GMDS,-0.73529,2.255503611
C4orf47,-0.53153,2.254901776
CCR1,-0.65759,2.253669446
TEX14,-0.74128,2.250890076
PLEKHB2,0.43207,2.250410535
LURAP1L,0.032483,2.24910608
ZNF597,-0.63866,2.248713196
MVD,0.38976,2.246164251
GSK3B,-0.59524,2.245575211
NAT8,-0.64704,2.245536989
NUP43,0.63761,2.24370629
ABCA3,0.38766,2.243120572
CWC25,0.3821,2.242535644
CARS,0.5022,2.237478981
ROBO3,0.55665,2.236182813
TUBA1B,0.60593,2.235300936
SYCE1,-0.49338,2.231724579
FAM193A,0.57378,2.229575132
M1AP,-0.70289,2.227883751
ZBTB21,0.092612,2.22266019
PATE4,-0.19941,2.22266019
RHOC,-0.59134,2.22110385
PTGES3,-0.52151,2.220252037
STOML3,0.3737,2.217427055
EED,0.55232,2.217312432
USP2,0.12756,2.215561026
BHLHE41,0.20922,2.209152096
WASF3,0.34995,2.205888552
JAG2,0.59213,2.205749033
HTT,0.666,2.203897681
C19orf68,-0.11873,2.198356225
GIMAP6,0.051852,2.196747789
ZNF410,-0.51364,2.195526623
MAGEA10,-0.28899,2.194866306
BRWD1,-0.50288,2.194274916
XPO5,0.4997,2.193094546
CTU2,0.6476,2.192471737
PPP1R12B,0.185,2.191572947
NDUFA12,-1.1152,2.186358975
LAMP2,0.35189,2.186252264
ZC2HC1C,-0.40232,2.185066867
ZYX,0.44315,2.184183256
KIRREL,-0.39234,2.183878065
ATP5SL,-0.54455,2.179220742
SMCO2,-0.5965,2.17798238
INAFM2,-0.5956,2.176180299
CCNI2,-0.67713,2.175978357
KLF11,0.44054,2.174976554
CH17-360D5.1,0.056545,2.173290425
BMPR1A,-0.37757,2.173290425
MRPL9,-0.53368,2.172824652
MOSPD1,-0.62568,2.171024485
NAP1L3,-0.6228,2.169270225
LYRM2,-0.7892,2.16907147
ANK3,0.40532,2.168450148
C1GALT1C1,0.55714,2.168155811
WDR6,0.52881,2.168091851
IFNL2,-0.60651,2.166916666
IFT172,0.50658,2.164246032
C1orf64,-0.26688,2.162209611
OSBP2,0.33286,2.161308291
TOMM40L,0.36687,2.157715355
ZNF84,0.20107,2.156698687
IP6K2,-0.55448,2.155678179
ARHGEF5,-0.44818,2.155547677
NAT16,0.33534,2.153836145
Control_196,-0.39879,2.151158392
JUP,0.14359,2.150279694
GK5,-0.52086,2.147678626
CFAP45,0.43785,2.146715599
OR2B11,0.36881,2.146648632
CSNK2A2,0.22939,2.14580938
OCIAD2,-0.62305,2.142221375
INSR,0.5734,2.140777615
IPCEF1,-0.97808,2.140435426
MMP27,-0.6517,2.139949622
NMNAT2,-0.66338,2.136468966
CSRP3,0.41841,2.135008613
KIAA2012,-1.0974,2.134647251
FZD9,0.55759,2.132774181
DICER1,0.90417,2.129467347
Control_21,-0.42335,2.127529051
TRAPPC4,0.97339,2.127080739
NBPF14,-0.8456,2.127080739
VARS,0.55323,2.12678406
TSPAN16,-0.031461,2.12678406
ZNF620,-0.67226,2.125506586
NDUFA7,-0.78556,2.12518201
TMEM256,-0.45478,2.122168109
RB1,-0.48116,2.12070337
NDUFS5,-0.94248,2.120496981
THRAP3,-0.96601,2.119998612
CAND2,0.37965,2.118478399
TRPC6,-0.34955,2.117839899
STAG1,0.31066,2.117344567
ZNF324,-0.19331,2.117344567
BASP1,-0.85765,2.116412373
PPP1R42,-0.60824,2.116298827
CACNG3,0.30182,2.114271368
CYP7B1,-0.74586,2.113836529
RPRD1A,-0.71947,2.11206216
NOSTRIN,-0.30114,2.111674455
ACBD3,-0.72931,2.109472796
FBXL14,0.056064,2.107387893
AP1S3,0.43464,2.102048683
EIF2AK3,-0.46382,2.10134611
SEMA6B,0.70554,2.100004502
PDYN,0.065018,2.099692967
SKOR2,0.39311,2.098885109
MUT,-0.09031,2.0970186
HIST1H4B,-0.91333,2.095966448
OR5M11,-0.58597,2.093562593
NRK,-0.68068,2.092766048
ANXA5,-0.62181,2.08915157
AQP3,0.35893,2.088277909
Control_132,-0.26897,2.088033173
SOCS2,-0.55248,2.087490989
OR10H5,0.19597,2.087220151
FRA10AC1,-0.070912,2.087220151
DPM1,-0.69973,2.087108678
ZNF721,-0.35285,2.085455876
NUTM1,-0.30696,2.084621273
IFNA6,0.51989,2.082631049
PSIP1,-1.0021,2.081849043
TBC1D8,0.26724,2.081822825
SLC2A10,0.28795,2.081366895
SURF2,-0.90025,2.076227687
PDRG1,-0.7406,2.074512576
BRSK2,0.64579,2.072696378
REEP6,0.57751,2.071829548
CRELD2,0.45146,2.071491492
Control_172,-0.36471,2.068618417
GCKR,0.69159,2.06721686
NGB,0.053297,2.066183826
MPC1,-0.53519,2.064064697
SSB,-0.75887,2.063345537
DDO,0.40879,2.061985912
ST14,0.3712,2.060885279
PANK3,-0.67027,2.059712676
ZSWIM4,0.12085,2.059329149
TECRL,-0.61404,2.05654011
SMG7,0.42665,2.054748124
CNOT7,-0.69908,2.054521567
PDPN,-0.82719,2.053311983
ASH2L,0.53711,2.052458453
ATP6V1G3,-0.50618,2.051782706
MEAF6,0.50608,2.051758243
OLA1,0.39698,2.050063809
ERO1LB,-0.46215,2.047057492
BCL2L1,-0.98104,2.045202913
ACSL6,0.25738,2.044884953
NEGR1,0.24636,2.044341107
ZC3H4,0.57207,2.044119914
C1QL4,-0.19189,2.042895771
MRPS9,-0.64884,2.04247891
MAPK8IP2,0.45213,2.04233047
PLXNA3,0.413,2.03954825
C11orf87,-0.3456,2.038550429
COTL1,0.54713,2.034685388
LAX1,-0.37181,2.034492565
MKKS,-0.44845,2.033891134
WDR20,0.36332,2.032190029
RGR,0.32207,2.031162289
GHITM,-0.55489,2.031092304
TROAP,-0.68338,2.029662424
01-Mar,-0.60892,2.028594254
RMND5A,0.4395,2.02828822
SOSTDC1,0.4758,2.027649027
PEA15,0.36139,2.02691373
COL4A3BP,-0.52443,2.02691373
CLTC,0.72281,2.024559
ACRV1,0.28687,2.023851852
VEGFC,0.28456,2.023805973
THSD1,0.30822,2.021445174
SIGLEC14,-0.71702,2.020556342
TM2D1,-0.71649,2.019696591
EPHA2,-0.59212,2.018793187
Control_239,0.31241,2.017656391
ORAOV1,0.62045,2.015486188
DLX2,-0.5723,2.014429833
XDH,0.33452,2.013192449
BTN3A3,-0.31356,2.012530374
FADD,0.38092,2.011503472
NAPB,-0.42738,2.011503472
CSH2,-0.65372,2.011503472
LIN37,0.36178,2.010452299
ZNF812,-0.41802,2.009816595
ANXA7,-0.438,2.008999994
GPN1,0.54869,2.007981396
CYB5RL,0.44311,2.007892935
KDELC1,-0.58126,2.0078664
CYR61,-0.52337,2.007437646
ZNF276,0.56258,2.0066696
ATE1,-0.14963,2.006422702
CHAMP1,-0.65835,2.006242026
TCF23,0.40708,2.005005753
VKORC1,0.31028,2.003435795
RASSF6,-0.69481,2.003435795
PID1,-0.48352,2.002810272
ASPN,-0.56158,2.002609246
PPP1R12C,0.38634,2.002272955
CBX1,-0.77917,2.002142003
ZNF883,0.58004,2.000847701
TRIM65,0.36718,2.000625835
ZMYND12,-0.3279,1.998699067
DSP,-0.30463,1.99865577
MBTPS1,0.68076,1.995678626
NEK6,0.62374,1.993491172
DEFB107A,0.016848,1.993234548
RGPD3,-0.61814,1.992081609
FAM227B,-0.4771,1.990804146
EHMT2,0.5115,1.990336683
SPRN,0.31641,1.988810312
ALAD,0.48888,1.988471846
KDELC2,0.081533,1.987669044
TMEM167A,-0.19663,1.987669044
SLC34A3,0.50216,1.983217288
LIPJ,-0.16225,1.982841402
ITPK1,0.32274,1.981965597
OCLM,-0.83125,1.9800948
LFNG,0.30755,1.979721606
PEX12,0.21737,1.979721606
PARPBP,-0.33847,1.979721606
GTPBP10,-0.81999,1.979721606
C14orf28,-0.95,1.979555845
SLFN12,-0.73119,1.977901703
ZMYM6,-0.91738,1.977612874
C2orf50,-0.68858,1.973671061
SYNCRIP,-0.69609,1.973221671
ELF2,0.20379,1.972691173
GRXCR2,-0.43845,1.972079864
CYP2A13,-0.54688,1.970372761
FOXO3,-0.85217,1.970332197
SLC22A4,0.66492,1.970048358
PRTG,-0.62739,1.968147369
SLC52A2,-0.55099,1.967864953
B3GAT3,0.033268,1.965772739
Control_9,-0.13274,1.965772739
CLDN4,0.32765,1.9647304
OR8B2,0.35936,1.964290162
ATP6V1A,0.48103,1.964130186
ZNF493,-0.90333,1.96405022
MYO19,0.41098,1.963411023
TIMM8A,0.4794,1.963211467
PIP5K1C,0.35869,1.961340106
CFI,0.29521,1.960823916
TSPAN5,0.49919,1.959081349
HRH1,0.19188,1.958449418
PDZD8,0.3536,1.956127088
GSTM1,-0.46422,1.955813149
SREBF2,0.45908,1.955303483
STARD7,-0.77509,1.954794414
TRRAP,0.58724,1.953582883
CMTM5,-0.7858,1.952880961
MRPL50,-0.57103,1.951985709
ADA,0.1762,1.951635895
SLC1A3,-0.23337,1.951635895
OR10A4,-0.87804,1.950549382
KCNH6,0.43035,1.949620244
LRRIQ3,-0.62454,1.949426923
NELL2,-0.73306,1.946000139
ZNF879,-0.81215,1.945578476
LDLR,0.38597,1.944506993
TNFRSF10A,0.29192,1.94443056
GRB7,-0.36594,1.94443056
MOB1A,-0.52351,1.942524084
FBXO16,-0.48253,1.942029768
UGT1A7,-0.10775,1.938283707
IDH3B,0.55292,1.937944753
UNK,-0.3174,1.93734282
AQR,-1.0081,1.935691793
FBXL4,0.55727,1.934196287
KRTAP10-11,0.44212,1.934196287
PTPN18,0.27786,1.932780311
CNDP1,-0.5276,1.932780311
ZNF699,0.45992,1.932148339
C8orf59,-0.57172,1.931702795
AFM,-0.88979,1.930110003
SNAI2,0.29832,1.929814314
USP15,-0.82448,1.928154799
MRPL33,-1.2621,1.927897221
OR4C45,0.33322,1.927309045
ABCD1,0.39837,1.927125403
SLC9A8,0.29931,1.925329811
TMEM72,0.19001,1.925220118
CHRNG,-0.40817,1.925220118
MTERF2,-0.75006,1.924891204
TOMM20L,-0.82503,1.924124705
SYT4,-1.1164,1.923905953
SAMD8,0.55687,1.923213966
TFAM,-1.1517,1.922995673
TMEM151B,0.4172,1.922704786
FAM133B,-1.0776,1.922414094
OR8S1,-0.6256,1.922341451
POP1,0.6806,1.922159897
Control_138,-0.4679,1.92121704
MTO1,-0.83101,1.920131665
PIGY,-0.92864,1.919770475
MIA2,-0.62843,1.919265314
RICTOR,0.75937,1.918868813
BEND4,-0.33005,1.917789283
C19orf71,0.39219,1.916927588
CCDC62,-0.13584,1.912573543
CCDC134,0.48676,1.910978499
TRPT1,0.51395,1.910730907
SYTL2,0.33106,1.910695548
SULT1A2,0.33821,1.909918382
SLC17A7,-0.40587,1.906578315
NUP205,0.78521,1.904098721
PPCS,-0.6003,1.903298498
DPY30,0.21018,1.900526544
VANGL1,-0.27659,1.900526544
KRTAP9-3,0.37675,1.900043266
RANBP10,0.24556,1.898596649
FGFR2,0.35001,1.897875144
EFHD2,-0.45428,1.897703534
CAPSL,-0.70004,1.89629888
PLBD2,0.14858,1.895820281
AMOTL2,-0.68511,1.895410473
MPP7,0.37898,1.894898755
CCZ1B,-0.37747,1.894217402
PPFIA2,0.12314,1.894149326
PRAC2,-0.4487,1.893469146
APEH,0.35289,1.89279003
CCT6B,-0.52533,1.891232082
LSMEM1,-0.60948,1.889208339
PIGS,-0.96713,1.888905589
UBALD1,0.12258,1.888300722
NICN1,0.53092,1.88709351
MAP9,-0.63693,1.88709351
UBE2T,0.19784,1.886290562
INO80B,-0.57909,1.886023242
Control_144,-0.57033,1.885923039
PIGQ,-0.58801,1.885222268
DDX42,0.56264,1.884189859
FUS,0.55132,1.883525088
RPS14,0.63808,1.882496701
DDX10,0.49902,1.881702199
MAGEC1,-0.55732,1.87962352
FLNC,0.64601,1.879360272
OR10T2,-0.55175,1.878374508
SPAG8,-0.22139,1.876703827
SEC24D,0.44175,1.875626214
IVL,-0.70854,1.872797982
PLRG1,0.63194,1.872538837
UBE2G2,0.55074,1.872182766
NF2,-0.75966,1.870600164
COL13A1,-1.1488,1.870084642
PROK1,0.46232,1.869055432
FOCAD,0.34266,1.868991187
C14orf39,-0.68511,1.868991187
MT4,0.43009,1.867836404
PAFAH2,0.25481,1.86780437
ZSCAN26,-0.28435,1.866556902
RCCD1,-1.2286,1.865759124
CD63,0.36989,1.865536008
IQSEC3,0.27478,1.865536008
CYP3A7-CYP3A51P,-0.20082,1.865536008
GRSF1,-1.0815,1.864962808
TCEAL3,-0.38471,1.864708296
RPL13A,-0.76501,1.863755198
ZDHHC16,0.28207,1.863374544
KEL,0.33329,1.863057587
Control_206,0.28152,1.862645889
NIPSNAP3B,-0.71606,1.861760477
RAVER1,0.39649,1.860939921
MAGED2,-0.33108,1.860530224
RNF4,0.23677,1.85974343
GLTPD2,-0.50511,1.85974343
MORC4,-0.26833,1.859523383
ELOVL2,0.60862,1.858801155
MTIF3,-0.68239,1.856204796
SLC35C1,-0.51833,1.854151243
SERINC4,-0.60228,1.854120204
TRIM28,0.328,1.85405813
OTOR,-0.35138,1.85405813
WBP1,0.12189,1.85309713
PRY2,-0.55798,1.850657701
CYBRD1,0.35374,1.850411432
PML,-0.24109,1.84924356
ZIC3,0.24745,1.848844745
DTNBP1,-0.31177,1.848814082
TPT1,0.72254,1.848599502
NUDT6,0.42538,1.848446295
ZNF534,0.061012,1.847681073
HIGD1A,-0.68539,1.84597185
DET1,0.35348,1.845789118
STRADA,0.28295,1.845606462
SSBP2,-0.38216,1.845150158
BTG2,-0.53041,1.844998164
CHD1,0.49151,1.844876606
DMC1,-0.64629,1.842392147
EDEM3,-0.5612,1.840703573
PACRGL,-0.68018,1.838691905
CEL,0.56088,1.83818296
PMCH,-0.36142,1.837465463
B3GAT1,0.32625,1.835468704
LUC7L2,0.57624,1.835112042
BUB3,0.63183,1.834636949
LOC100287036,0.37432,1.833777165
PITHD1,-0.4311,1.833717933
FBXO22,0.55518,1.83321478
DERL3,-0.36264,1.833096476
TBKBP1,0.33501,1.83218071
ZNF24,-0.34459,1.831944697
FAM151B,0.49589,1.831708811
MROH5,0.3656,1.83132577
RAPGEF1,0.51785,1.831119658
ZNF521,-0.3781,1.830119927
RRAGC,0.65258,1.829415618
PERP,0.23487,1.828976004
PARP10,-0.88842,1.828946712
SEMA6A,0.070618,1.828098109
GYG1,-0.37029,1.82474919
ORAI1,0.34071,1.82440122
SOS2,-0.35691,1.823156615
CHPF2,0.43174,1.82139711
BNC1,0.24742,1.820448209
PCDH11Y,-0.15961,1.82004627
ELAVL3,-0.28648,1.818671013
UBAP2L,0.34648,1.818642408
CBY1,0.54214,1.818499412
LY6G5C,-0.51322,1.818499412
TARDBP,0.33572,1.818270715
OR2J2,-0.20556,1.818270715
HLA-DOA,0.2563,1.81821356
GTF3C3,0.55924,1.818070704
MCMDC2,-0.53074,1.81764242
ANKRD34A,0.41808,1.817385652
AGL,-0.43996,1.816872571
CFHR1,-0.45872,1.815734557
WNT1,0.50221,1.814996444
DGKH,-0.81402,1.813523969
C15orf41,0.19848,1.813439171
DIAPH3,-0.36418,1.813439171
GALNS,-0.4511,1.81295896
SMOX,0.63317,1.811859301
TBC1D7,-0.59445,1.810453543
ITFG1,-0.53113,1.810397407
TMC6,-0.65561,1.809808419
C1QTNF4,0.19702,1.808996366
YPEL1,0.23744,1.808772618
TEAD1,0.458,1.807683495
TSPAN14,0.43193,1.807348929
OR4C16,-0.55627,1.8064302
RNF133,-0.62121,1.806179974
PA2G4,0.36386,1.804931004
HILPDA,-0.49304,1.804764745
BHLHE22,-0.70788,1.803547458
PDDC1,0.36996,1.803105653
SLC37A1,0.25109,1.801397891
HNRNPA1,0.45508,1.800848429
ASH1L,-0.70376,1.800573958
