"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Acly.3",2.37258778719949e-07,-0.454154907340192,0.566,0.767,0.00606955407721373,"extraembryonic mesoderm","Acly"
"Acly.4",3.58885829777242e-09,-0.31615989231488,0.644,0.77,9.18101729736141e-05,"cardiac","Acly"
"Aco2",8.29024433221877e-11,0.301938053997837,0.942,0.898,2.12081030506821e-06,"cardiac","Aco2"
"Acot7",9.43128666885822e-09,-0.627391669442263,0.23,0.496,0.000241271175562731,"amnion","Acot7"
"Acot7.1",2.13927892629004e-131,1.0232138280185,0.873,0.449,5.47270334923517e-127,"mesoderm progenitors","Acot7"
"Acot7.2",7.53375776263113e-25,0.359642847734048,0.729,0.469,1.9272859108363e-20,"neural tube","Acot7"
"Acot7.3",4.8149099863927e-22,-0.457953062461214,0.347,0.512,1.23175027271898e-17,"mixed mesoderm","Acot7"
"Acot7.5",9.59086955552771e-16,-0.519986272159079,0.275,0.503,2.4535362496951e-11,"pharyngeal mesoderm","Acot7"
"Acot7.6",6.42779475790263e-10,-0.522318843654739,0.268,0.498,1.64435845496665e-05,"foregut","Acot7"
"Acot7.8",1.731454969206e-13,-0.489719112429717,0.295,0.502,4.42940810222279e-09,"cardiac","Acot7"
"Acot7.9",1.48098685553856e-30,-0.725023217809051,0.16,0.511,3.78866057383875e-26,"somitic mesoderm","Acot7"
"Acot7.10",1.57227834462519e-09,0.911049575202959,0.695,0.487,4.02220246122015e-05,"mid hindgut","Acot7"
"Acot9",2.83845664539318e-09,0.419105544351245,0.57,0.322,7.26133979024484e-05,"amnion","Acot9"
"Acot9.1",1.58646848852616e-16,-0.302676513541104,0.167,0.345,4.05850368734761e-12,"mid hindbrain","Acot9"
"Acot9.3",1.17567988389156e-24,0.742700980907648,0.662,0.317,3.0076242789714e-20,"endothelial","Acot9"
"Acsf2",3.16146021549668e-27,0.342410037494363,0.252,0.047,8.0876475232836e-23,"endothelial","Acsf2"
"Acsl1",1.0351870283269e-28,0.464085171911734,0.335,0.116,2.64821545586588e-24,"cardiac","Acsl1"
"Acsl1.1",2.90501271379485e-17,0.370323756984822,0.36,0.121,7.43160352442999e-13,"endothelial","Acsl1"
"Agpat4",1.92632239127444e-37,0.530689752089587,0.828,0.6,4.92791794135827e-33,"neural tube","Agpat4"
"Agpat4.2",2.68492670566084e-09,0.265629923445957,0.738,0.611,6.86857949842155e-05,"somitic mesoderm","Agpat4"
"Agpat5.1",4.08101235231912e-16,0.315447644600499,0.88,0.793,1.04400457997028e-11,"mesoderm progenitors","Agpat5"
"Agpat5.2",1.27774233720436e-09,0.48687530507053,0.885,0.798,3.2687204470362e-05,"foregut","Agpat5"
"Agpat5.3",1.1481545926929e-06,-0.265085574468184,0.748,0.804,0.0293720907902697,"cardiac","Agpat5"
"Agpat5.4",9.15677089834681e-14,0.632564887069424,0.939,0.799,2.34248513121508e-09,"mid hindgut","Agpat5"
"Aifm3",3.48218551318358e-21,0.264192032710644,0.203,0.023,8.90812697982622e-17,"notochord","Aifm3"
"Ak3",2.18356749410885e-07,0.314492652182442,0.48,0.25,0.00558600236342925,"amnion","Ak3"
"Ak3.1",1.2548521822858e-09,0.382474191035031,0.439,0.249,3.21016285272354e-05,"foregut","Ak3"
"Ak3.2",1.69734524337557e-07,0.273815503452207,0.485,0.25,0.00434214860160337,"extraembryonic mesoderm","Ak3"
"Ak3.3",4.50008338019364e-11,0.264746087487273,0.414,0.245,1.15121133032114e-06,"cardiac","Ak3"
"Ak4.2",1.30050632768314e-08,-0.426204986956694,0.194,0.42,0.000332695528747902,"endothelial","Ak4"
"Akr1b10",1.02436809678614e-23,0.341584185664302,0.374,0.151,2.6205384651983e-19,"cardiac","Akr1b10"
"Akr7a5",4.06725263115082e-14,-0.647479020034314,0.79,0.918,1.040484568101e-09,"amnion","Akr7a5"
"Akr7a5.1",1.25288679733467e-11,-0.253179551178708,0.894,0.918,3.20513500494155e-07,"mixed mesoderm","Akr7a5"
"Akr7a5.3",5.06797998197636e-08,0.487673509240323,0.957,0.915,0.00129649063898919,"notochord","Akr7a5"
"Akr7a5.4",5.57757479781108e-22,0.355486033541271,0.977,0.909,1.42685518477603e-17,"placodes","Akr7a5"
"Akr7a5.5",1.47901933652259e-19,0.526505864946993,0.975,0.913,3.78362726669209e-15,"foregut","Akr7a5"
"Akr7a5.6",2.87924072060366e-07,-0.444705512859297,0.778,0.918,0.00736567361144828,"extraembryonic mesoderm","Akr7a5"
"Akr7a5.7",1.64225855543948e-36,-0.668284651320529,0.759,0.924,4.20122583652529e-32,"cardiac","Akr7a5"
"Akr7a5.8",1.59311692835295e-18,-0.659074273838311,0.77,0.919,4.07551172611252e-14,"endothelial","Akr7a5"
"Akr7a5.9",2.43819049905527e-21,0.832851430662048,0.976,0.914,6.23737893468319e-17,"mid hindgut","Akr7a5"
"Aldh2.1",1.91304690868705e-14,0.29428564199336,0.909,0.843,4.89395660180321e-10,"mixed mesoderm","Aldh2"
"Aldh2.2",3.99044295088587e-08,1.10603048363255,0.899,0.851,0.00102083511569562,"notochord","Aldh2"
"Aldh2.3",3.57809780438453e-17,0.334526511229396,0.936,0.847,9.15348980317651e-13,"presomitic mesoderm","Aldh2"
"Aldh2.4",8.84324578083488e-08,-0.341356623818149,0.779,0.856,0.00226227913565318,"pharyngeal mesoderm","Aldh2"
"Aldh2.5",6.44856819248559e-07,-0.368465468528899,0.796,0.854,0.0164967271500166,"foregut","Aldh2"
"Aldh2.7",1.13413199930015e-16,-0.483508499476173,0.716,0.86,2.90133648060964e-12,"cardiac","Aldh2"
"Aldh2.8",2.62395087315427e-14,-0.581094204531868,0.676,0.857,6.71259112370325e-10,"endothelial","Aldh2"
"Aldh5a1",3.73096992704251e-12,0.556871674596192,0.427,0.162,9.54456726736015e-08,"mid hindgut","Aldh5a1"
"Aldh7a1",2.64602854376085e-20,0.616797977108792,0.949,0.882,6.76907022064902e-16,"foregut","Aldh7a1"
"Aldh7a1.1",4.24240062378422e-16,0.64816299784391,0.988,0.882,1.08529092757648e-11,"mid hindgut","Aldh7a1"
"Aldh9a1",2.65888471435564e-12,-0.286397826509661,0.475,0.617,6.80195887626459e-08,"mesoderm progenitors","Aldh9a1"
"Aldh9a1.1",4.58523757486947e-12,-0.353124567048594,0.429,0.614,1.17299547640311e-07,"presomitic mesoderm","Aldh9a1"
"Alkbh1",3.15814717581504e-09,0.260784077582596,0.878,0.814,8.07917210517004e-05,"presomitic mesoderm","Alkbh1"
"Amt",3.15114899554927e-08,-0.555855392863058,0.24,0.499,0.000806126936041413,"amnion","Amt"
"Amt.1",1.49028650045703e-08,0.304172581096904,0.578,0.486,0.000381245092546917,"forebrain","Amt"
"Apex1",1.20776124697103e-22,-0.609740884736528,1,1,3.08969482200129e-18,"amnion","Apex1"
"Apex1.2",8.98982969263601e-17,-0.347252895681485,1,1,2.29977823197014e-12,"foregut","Apex1"
"Apex1.3",5.90047155704857e-54,-0.57046732343767,1,1,1.50945863372417e-49,"cardiac","Apex1"
"Apex1.4",2.4122093060263e-29,-0.573242975485205,1,1,6.17091384667649e-25,"endothelial","Apex1"
"Apoo",1.68618241670162e-11,-0.353745379012834,0.395,0.564,4.31359185840607e-07,"presomitic mesoderm","Apoo"
"Apoo.2",5.74817230660209e-08,0.309358252059376,0.658,0.548,0.00147049743947495,"cardiac","Apoo"
"Apool.1",1.75188885517058e-11,0.327151165541331,0.871,0.755,4.48168206929738e-07,"cardiac","Apool"
"Apool.2",5.11226300621124e-22,-0.45327466877654,0.493,0.778,1.30781912224896e-17,"somitic mesoderm","Apool"
"Arf5.1",1.24835204682896e-30,-0.306367191950039,0.998,1,3.19353420619783e-26,"mixed mesoderm","Arf5"
"Arf5.2",5.69228490068885e-20,0.716692943191175,1,1,1.45620032329422e-15,"notochord","Arf5"
"Arf5.3",8.6782129784018e-73,0.496385613069084,1,1,2.22006044413475e-68,"placodes","Arf5"
"Arf5.4",2.65687568506512e-25,-0.402631909357303,1,1,6.79681937753358e-21,"presomitic mesoderm","Arf5"
"Arf5.5",8.97323124961259e-35,0.538898406974038,1,1,2.29553201827589e-30,"foregut","Arf5"
"Arf5.6",6.85142583349518e-25,0.669123156354016,1,1,1.75273175672474e-20,"mid hindgut","Arf5"
"Arl2.2",2.51481518153509e-10,-0.280868951738555,0.82,0.901,6.43340019740307e-06,"cardiac","Arl2"
"Arl2.3",2.43755813920631e-08,-0.374753948987908,0.791,0.899,0.000623576123171757,"endothelial","Arl2"
"Armc10.1",3.13861551942599e-21,0.376463997734767,0.728,0.584,8.02920622179558e-17,"mesoderm progenitors","Armc10"
"Armc10.2",7.89361274924227e-20,0.332896108703918,0.752,0.581,2.01934401351116e-15,"placodes","Armc10"
"Armc10.3",2.64805856037585e-21,-0.501369524086686,0.361,0.613,6.77426340915351e-17,"presomitic mesoderm","Armc10"
"Armc10.4",1.13822442338627e-13,0.298162977469596,0.733,0.585,2.91180571990676e-09,"forebrain","Armc10"
"Armc10.5",2.39876678916903e-10,-0.335681893027546,0.439,0.607,6.13652520005222e-06,"pharyngeal mesoderm","Armc10"
"Armc10.6",1.52824807027657e-12,-0.384734917258923,0.414,0.609,3.90956421338152e-08,"cardiac","Armc10"
"Armc10.7",4.24881099795915e-12,-0.356417885197424,0.411,0.609,1.08693082949791e-07,"somitic mesoderm","Armc10"
"Armcx1",7.96790109393016e-27,0.43274814157146,0.791,0.572,2.03834845784921e-22,"neural tube","Armcx1"
"Armcx1.1",1.68945745424112e-15,-0.318006131575761,0.481,0.606,4.32197005943963e-11,"mixed mesoderm","Armcx1"
"Armcx1.2",3.28815242967741e-09,-0.320651089372454,0.456,0.598,8.41175154560075e-05,"presomitic mesoderm","Armcx1"
"Armcx1.3",9.0750625353376e-19,0.402198849731602,0.735,0.577,2.32158249779007e-14,"forebrain","Armcx1"
"Armcx1.4",6.32454456960203e-07,-0.285759328615745,0.468,0.597,0.0161794499179559,"somitic mesoderm","Armcx1"
"Armcx1.5",2.48931135256278e-13,0.519388485420627,0.784,0.584,6.36815630212609e-09,"endothelial","Armcx1"
"Armcx2",1.67005335590622e-06,-0.407309753209886,0.61,0.808,0.0427233049507929,"mid hindgut","Armcx2"
"Armcx3",4.49370841124239e-14,-0.282054476368023,0.327,0.472,1.14958048576403e-09,"mixed mesoderm","Armcx3"
"Armcx3.1",4.6593253519156e-30,0.866437991423544,0.806,0.443,1.19194861152705e-25,"endothelial","Armcx3"
"Armcx6",4.31354390584423e-13,0.250688219075898,0.353,0.21,1.10349080199307e-08,"forebrain","Armcx6"
"Atad3a.1",5.13742382510764e-19,-0.399067749472149,0.888,0.961,1.31425576293904e-14,"cardiac","Atad3a"
"Atp23",4.73493047084877e-08,-0.564055354629011,0.145,0.472,0.00121128991305253,"notochord","Atp23"
"Atp23.1",3.02939025126608e-09,-0.404385771485235,0.242,0.475,7.7497861407889e-05,"foregut","Atp23"
"Atp23.2",5.29540193047549e-12,-0.337058276398261,0.263,0.48,1.35466972185424e-07,"cardiac","Atp23"
"Atp5a1",3.779110854007e-17,0.260545040750846,1,1,9.66772138672072e-13,"cardiac","Atp5a1"
"Atp5a1.1",4.47873881361304e-09,-0.30963590147899,1,1,0.000114575096329849,"mid hindgut","Atp5a1"
"Atp5b",1.55048590607925e-39,0.392922774498557,1,1,3.96645304493194e-35,"cardiac","Atp5b"
"Atp5c1",4.25415960829559e-34,-0.276434623887072,1,1,1.08829911099418e-29,"mesoderm progenitors","Atp5c1"
"Atp5c1.1",1.61271010085979e-11,0.276088803279954,1,1,4.12563498001952e-07,"extraembryonic mesoderm","Atp5c1"
"Atp5c1.2",6.37122107406583e-43,0.417506794269738,1,1,1.62988577516752e-38,"cardiac","Atp5c1"
"Atp5d",5.91016966978853e-20,0.25187636753605,1,1,1.5119396049253e-15,"cardiac","Atp5d"
"Atp5e",1.79737268495332e-17,0.503835947996058,1,1,4.59803880264759e-13,"notochord","Atp5e"
"Atp5g1",3.21854785678891e-08,-0.291847414546153,1,1,0.000823368912723739,"notochord","Atp5g1"
"Atp5g1.1",2.01052744553943e-17,-0.301253171026222,1,1,5.14333131117897e-13,"foregut","Atp5g1"
"Atp5g1.2",2.31541207909816e-08,-0.271639512323886,1,1,0.000592328718074891,"mid hindgut","Atp5g1"
"Atp5g3",8.54034747772772e-18,0.357208694539703,1,1,2.18479169175231e-13,"amnion","Atp5g3"
"Atp5g3.1",1.0253352457617e-15,0.337906496949538,1,1,2.62301262570758e-11,"extraembryonic mesoderm","Atp5g3"
"Atp5g3.2",5.96267986516739e-51,0.544952281348881,1,1,1.52537276310712e-46,"cardiac","Atp5g3"
"Atp5h",2.19750534956394e-20,0.251880733845404,1,1,5.62165818525448e-16,"cardiac","Atp5h"
"Atp5j",9.13252309303107e-08,0.274473870105311,1,1,0.00233628205765921,"notochord","Atp5j"
"Atp5k",1.1359406952286e-09,0.259979039821528,1,1,2.90596348653381e-05,"cardiac","Atp5k"
"Atp5md",1.80015421781085e-16,0.25679619155429,1,1,4.60515452000372e-12,"cardiac","Atp5md"
"Atp5mpl",4.25313649424705e-14,0.25464483049849,1,1,1.08803737795828e-09,"cardiac","Atp5mpl"
"Atpif1",9.39459256203575e-16,0.315276786699976,1,1,2.40332466921999e-11,"foregut","Atpif1"
"Atpif1.1",4.41811745234583e-14,0.364202861126248,1,1,1.13024280665911e-09,"mid hindgut","Atpif1"
"Bad.1",5.20250574720594e-16,-0.338542066782445,0.427,0.59,1.33090502025022e-11,"placodes","Bad"
"Bad.2",1.46274874825271e-07,0.294288202173165,0.655,0.569,0.00374200384778007,"cardiac","Bad"
"Bad.3",6.40367940137923e-09,0.410481943850689,0.763,0.568,0.000163818926446083,"endothelial","Bad"
"Bak1.2",7.45733880323612e-07,0.335723216152961,0.808,0.573,0.0190773641264386,"extraembryonic mesoderm","Bak1"
"Bbc3",1.04671703882952e-07,-0.427207322741571,0.1,0.354,0.00267771152873369,"amnion","Bbc3"
"Bbc3.1",5.92691946714539e-14,0.279395314125064,0.51,0.335,1.51622453808513e-09,"neural tube","Bbc3"
"Bcat2",6.56886563611802e-07,0.303276408865848,0.747,0.637,0.0168044720703171,"neural crest","Bcat2"
"Bcat2.1",6.23036025360347e-07,-0.283126154118029,0.532,0.648,0.0159385076007684,"cardiac","Bcat2"
"Bcat2.2",5.35082242092994e-19,0.653052247124767,0.849,0.636,1.3688473917223e-14,"endothelial","Bcat2"
"Bckdhb.1",6.28601236746152e-11,-0.346111846085095,0.45,0.619,1.60808768384401e-06,"cardiac","Bckdhb"
"Bcl2",3.18076482272623e-19,0.473996891058353,0.453,0.174,8.13703256949824e-15,"endothelial","Bcl2"
"Bcl2l1",7.84610927247698e-07,0.57758896981146,0.652,0.46,0.0200719167408506,"notochord","Bcl2l1"
"Bcl2l1.1",1.63935320597834e-14,0.320105900204184,0.598,0.448,4.19379337153379e-10,"placodes","Bcl2l1"
"Bcl2l1.2",1.48120031005345e-08,0.404608908334836,0.637,0.457,0.000378920663317874,"foregut","Bcl2l1"
"Bcl2l1.3",3.39710713556991e-12,0.662731634012977,0.732,0.458,8.69047947421495e-08,"mid hindgut","Bcl2l1"
"Bcl2l11.1",2.50282936087177e-08,-0.284558709593318,0.223,0.381,0.000640273807098216,"cardiac","Bcl2l11"
"Bid",3.4416764243885e-09,-0.484951692376472,0.09,0.374,8.80449662887066e-05,"amnion","Bid"
"Bid.1",8.09911283800982e-14,-0.367582284253773,0.165,0.381,2.07191504621967e-09,"cardiac","Bid"
"Bik",1.0667763476177e-48,0.609032615527333,0.406,0.112,2.7290272524756e-44,"cardiac","Bik"
"Bik.1",9.04571800985157e-17,0.562410563753444,0.353,0.122,2.31407558128023e-12,"endothelial","Bik"
"Bnip3",6.32865750299315e-12,-0.77665458270791,0.53,0.809,1.61899716241571e-07,"amnion","Bnip3"
"Bnip3.1",1.64603272683019e-25,-0.630262956545105,0.654,0.816,4.21088092177699e-21,"neural tube","Bnip3"
"Bnip3.2",1.75264233547659e-29,-0.537979504388754,0.705,0.818,4.48360962261621e-25,"mixed mesoderm","Bnip3"
"Bnip3.3",2.6161156418555e-44,0.777960609522736,0.961,0.793,6.69254703499473e-40,"pharyngeal mesoderm","Bnip3"
"Bnip3.4",1.11946306098877e-07,0.593277079179169,0.854,0.801,0.00286381040262146,"foregut","Bnip3"
"Bnip3.5",1.02935625037963e-13,-0.802039556962195,0.475,0.81,2.63329915972117e-09,"extraembryonic mesoderm","Bnip3"
"Bnip3.6",2.70614546102088e-27,0.790760945711032,0.903,0.797,6.92286131838362e-23,"cardiac","Bnip3"
"Bnip3.8",3.74913406277675e-07,-0.374966822880682,0.576,0.81,0.00959103475939548,"endothelial","Bnip3"
"Bnip3l",9.29560827738024e-30,-0.946932619019957,0.93,0.997,2.37800250951941e-25,"amnion","Bnip3l"
"Bnip3l.1",2.33395408125398e-28,-0.3189009774381,0.994,0.996,5.97072133066394e-24,"mixed mesoderm","Bnip3l"
"Bnip3l.2",3.47484854968732e-51,0.420493853155918,1,0.995,8.88935755981011e-47,"mid hindbrain","Bnip3l"
"Bnip3l.3",4.89575201023288e-21,0.295178064268942,1,0.995,1.25243127925777e-16,"forebrain","Bnip3l"
"Bnip3l.5",1.62565547956474e-11,-0.39402697908946,1,0.995,4.15875184782252e-07,"endothelial","Bnip3l"
"Bok",1.42516359389164e-06,-0.592471192094587,0.32,0.523,0.036458535058936,"amnion","Bok"
"Bok.1",7.16773183359036e-19,0.319569439373873,0.695,0.499,1.83364915766909e-14,"mesoderm progenitors","Bok"
"Bok.2",3.1625060244964e-11,-0.327963474348736,0.417,0.534,8.09032291186668e-07,"mixed mesoderm","Bok"
"Bok.5",3.21026685735575e-15,-0.523177999643461,0.311,0.532,8.21250467448748e-11,"presomitic mesoderm","Bok"
"Bok.6",6.13576005162555e-07,-0.479050969337782,0.344,0.524,0.0156965013640685,"foregut","Bok"
"Bok.8",6.41866914032471e-18,0.885646368760034,0.658,0.51,1.64202393947787e-13,"cardiac","Bok"
"Bok.9",3.64012347855987e-12,-0.486787132617263,0.34,0.529,9.31216388285185e-08,"somitic mesoderm","Bok"
"Bola1",2.07855127170482e-08,-0.426205103152194,0.86,0.954,0.000531734986327527,"amnion","Bola1"
"Bola1.1",1.19611287810145e-22,0.336481913971414,0.98,0.95,3.05989596475913e-18,"neural tube","Bola1"
"Bola1.2",3.22516683844252e-18,0.266240036395393,0.982,0.949,8.25062180610366e-14,"mid hindbrain","Bola1"
"Bola1.3",3.98274603137126e-13,-0.441419869408645,0.885,0.954,1.0188660897454e-08,"foregut","Bola1"
"Bola1.5",8.58777914498816e-15,-0.365189902887474,0.932,0.954,2.19692566087087e-10,"cardiac","Bola1"
"Bola1.6",1.2975663826236e-09,-0.283438669396322,0.929,0.954,3.3194343200277e-05,"somitic mesoderm","Bola1"
"Bola1.7",3.78390764971472e-18,-0.597024402762686,0.813,0.956,9.67999254950019e-14,"endothelial","Bola1"
"Bphl.1",6.74191674314661e-13,0.258085154230165,0.594,0.444,1.72471714123177e-08,"placodes","Bphl"
"Bphl.2",3.92789218207988e-11,0.477184773804856,0.65,0.452,1.00483337801967e-06,"foregut","Bphl"
"C1qbp",3.5896271447687e-16,-0.540492467407487,1,1,9.1829841617473e-12,"notochord","C1qbp"
"C1qbp.1",4.34989967748609e-22,-0.405607128246602,1,1,1.11279133549449e-17,"foregut","C1qbp"
"C1qbp.2",3.05860109264271e-49,-0.513853283295966,1,1,7.82451331519859e-45,"cardiac","C1qbp"
"C1qbp.3",3.27174110551477e-16,-0.356011426527874,1,1,8.36976809612787e-12,"endothelial","C1qbp"
"C1qbp.4",1.69740323957666e-06,-0.276394882407006,1,1,0.0434229696748501,"mid hindgut","C1qbp"
"Casp3",9.26011318779399e-07,-0.416697528275154,0.79,0.882,0.0236892215570146,"amnion","Casp3"
"Casp3.1",1.27615287038986e-25,0.363565166752225,0.963,0.871,3.26465427303134e-21,"mesoderm progenitors","Casp3"
"Casp3.2",1.67729530357558e-13,-0.407278774812663,0.769,0.885,4.29085684560705e-09,"neural crest","Casp3"
"Casp3.4",6.49918495630316e-21,-0.491756485592337,0.741,0.888,1.66262149552147e-16,"cardiac","Casp3"
"Casp8.1",1.04958627142509e-28,0.404560970305994,0.495,0.274,2.68505159955967e-24,"placodes","Casp8"
"Casp8.2",3.32369764234766e-09,-0.275546480605193,0.139,0.304,8.50268330865378e-05,"pharyngeal mesoderm","Casp8"
"Casp8.3",4.31785734245279e-22,0.606037893005377,0.592,0.285,1.10459426534627e-17,"foregut","Casp8"
"Casp8.4",2.17693596550387e-07,-0.263514046605653,0.167,0.303,0.00556903758695201,"somitic mesoderm","Casp8"
"Casp8.6",1.2892998290508e-12,0.60846004475032,0.598,0.29,3.29828682267776e-08,"mid hindgut","Casp8"
"Cat",5.87454426418984e-07,0.356652718376573,0.71,0.487,0.0150282591366505,"amnion","Cat"
"Cat.1",3.63031421434107e-07,0.319535193479877,0.683,0.486,0.00928706982312733,"endothelial","Cat"
"Cbr3",1.04614969774854e-75,0.606023204859207,0.375,0.068,2.67626015678032e-71,"presomitic mesoderm","Cbr3"
"Cbr3.1",1.27071002748712e-26,0.529689572980437,0.257,0.076,3.25073039231755e-22,"pharyngeal mesoderm","Cbr3"
"Cbr3.2",1.02368882739442e-10,0.382218687953149,0.188,0.081,2.61880075824041e-06,"somitic mesoderm","Cbr3"
"Ccdc58",1.68435050474272e-11,-0.427443889881019,1,0.996,4.30890546123284e-07,"amnion","Ccdc58"
"Ccdc58.2",4.81652079494825e-08,-0.286820221293235,0.964,0.997,0.00123216234976366,"endothelial","Ccdc58"
"Cebpzos.2",1.54392220449189e-09,-0.523856039078119,0.586,0.829,3.94966178353115e-05,"extraembryonic mesoderm","Cebpzos"
"Chchd10.1",1.20232220780081e-30,-0.526050829848843,0.08,0.289,3.07578067199604e-26,"mixed mesoderm","Chchd10"
"Chchd10.2",1.24335069042827e-08,-0.356168212211088,0.161,0.273,0.000318073973625359,"mid hindbrain","Chchd10"
"Chchd10.4",3.14349824598181e-96,0.677284597396997,0.638,0.221,8.04169721287067e-92,"placodes","Chchd10"
"Chchd10.5",1.04718500133838e-14,-0.518707043691702,0.074,0.274,2.67890867042384e-10,"presomitic mesoderm","Chchd10"
"Chchd10.6",3.48098983816862e-17,-0.545788333648923,0.046,0.275,8.90506820400296e-13,"pharyngeal mesoderm","Chchd10"
"Chchd10.7",2.19879742811527e-25,0.765466977462264,0.58,0.251,5.62496358060448e-21,"foregut","Chchd10"
"Chchd10.8",3.47114952010451e-07,-0.556925071505738,0.04,0.266,0.00887989470233135,"extraembryonic mesoderm","Chchd10"
"Chchd10.9",4.45391482051752e-16,1.14861259918155,0.424,0.252,1.13940048938479e-11,"cardiac","Chchd10"
"Chchd10.10",1.93783546896481e-09,-0.43505599515043,0.113,0.271,4.95737069670578e-05,"somitic mesoderm","Chchd10"
"Chchd10.11",6.83957286404556e-10,-0.567063205321615,0.036,0.268,1.74969953008014e-05,"endothelial","Chchd10"
"Chchd10.12",1.06451878573971e-06,0.329246507703216,0.488,0.258,0.0272325195767934,"mid hindgut","Chchd10"
"Chchd4",4.66122809911108e-18,0.265107746880175,0.965,0.926,1.1924353723146e-13,"mixed mesoderm","Chchd4"
"Chchd4.1",3.33528432073289e-12,0.362417317021095,0.987,0.928,8.53232434929888e-08,"neural crest","Chchd4"
"Chchd4.2",1.95341072920853e-07,-0.489436319186792,0.754,0.934,0.00499721532746127,"notochord","Chchd4"
"Chchd4.3",3.70049153194935e-10,-0.438482374691497,0.834,0.934,9.46659743703282e-06,"foregut","Chchd4"
"Chchd4.4",6.13670017498878e-13,0.574365010169048,0.96,0.931,1.56989063876563e-08,"extraembryonic mesoderm","Chchd4"
"Chchd4.5",2.75483202617528e-12,-0.332799734020951,0.888,0.934,7.04741128936161e-08,"cardiac","Chchd4"
"Chchd6",2.03758538616256e-17,0.317912514418834,0.886,0.78,5.21255093488107e-13,"neural tube","Chchd6"
"Chchd6.1",2.98458033664961e-22,0.332905048986689,0.902,0.776,7.63515341721704e-18,"mid hindbrain","Chchd6"
